id,name,description,measurement_unit,storage_type,price
d6b36e72-e6d0-4170-b830-90b999230263,Whole Wheat Flour,"Premium whole wheat flour, great for baking",kg,DRY,150
65f7b656-22d4-4ca4-9ed7-3b568ae819f3,Mixed Nuts,"Organic mixed nuts, unsalted",kg,DRY,950
c3b553cf-b365-4788-bcb6-3e89e411fffe,Frozen Berries,"Mixed frozen berries, no added sugar",kg,FROZEN,450
313df3f3-bc9d-4ece-b6d5-a8b0e7b8c4dc,Ice Cream,"Vanilla ice cream, made with real vanilla beans",liter,FROZEN,299
23234a3e-d089-4891-8f55-451bd4e1050e,Salmon Fillet,"Fresh salmon fillet, sustainably fished",kg,COLD,1200
2ffee5e6-28f4-4738-8166-d5683d0eade2,Cheddar Cheese,"Aged cheddar cheese, sharp and delicious",kg,COLD,800
2e96eeb9-509b-4b2b-a5c9-b0c6f970e310,Pasta,Organic spaghetti pasta,kg,DRY,200
4c81f50d-0f2a-43d2-af36-aa8bbf4af16a,Olive Oil,"Extra virgin olive oil, cold-pressed",liter,DRY,700
d9d55910-7ce6-4d2b-a889-30742685d5b6,Frozen Vegetables,"Organic mixed vegetables, flash frozen",kg,FROZEN,350
a1ffe9a1-4d48-4e07-9b7a-ae219bd12d02,Yogurt,"Greek yogurt, with live cultures",kg,COLD,250
970c4fd3-68ab-4adf-a9d8-82735f3908bc,Quinoa,Organic white quinoa,kg,DRY,550
f4b7916f-72a5-4735-a754-c7436a7b9374,Butter,"Unsalted butter, pasture-raised",kg,COLD,450
de8a8817-1d4b-4373-ad80-a8799abe7885,Frozen Chicken,"Whole chicken, free-range",kg,FROZEN,900
f6354bbb-0a9b-47d2-aa35-337752db58a3,Coffee Beans,"Single-origin coffee beans, medium roast",kg,DRY,1100
5949c85e-1df8-4827-bdb6-01adb1555e85,Milk,Organic whole milk,liter,COLD,100
